File,Minor,Major,Total,Ownership,Bugs
CategoryListCache.java,45.0,1.0,46.0,0.6,0.0
TestIndexWriterOnJRECrash.java,45.0,1.0,46.0,0.5217391,3.0
FloatDocValuesField.java,45.0,1.0,46.0,0.64285713,1.0
ZKPropertiesWriter.java,46.0,0.0,46.0,0.375,0.0
UIMABaseAnalyzerTest.java,46.0,0.0,46.0,0.3,4.0
TestTermFreqIterator.java,46.0,0.0,46.0,0.33333334,1.0
CategoryAssociationsMain.java,45.0,1.0,46.0,0.6666667,0.0
TestIndexSearcher.java,46.0,0.0,46.0,0.18518518,4.0
PerDocWriteState.java,46.0,0.0,46.0,0.4,0.0
TestZkChroot.java,45.0,1.0,46.0,0.625,0.0
FieldMutatingUpdateProcessorFactory.java,46.0,0.0,46.0,0.25,0.0
DistanceFacetsExample.java,45.0,1.0,46.0,0.71428573,5.0
AnalyticsRequest.java,44.0,2.0,46.0,0.5,0.0
BulkOperationPacked31.java,46.0,0.0,46.0,0.33333334,1.0
TestUTF32ToUTF8.java,46.0,0.0,46.0,0.2631579,2.0
FieldsQuery.java,45.0,1.0,46.0,0.6666667,1.0
AssertingSubDocsAtOnceCollector.java,45.0,1.0,46.0,0.75,1.0
TestSpanMultiTermQueryWrapper.java,46.0,0.0,46.0,0.375,6.0
FieldSortedTermVectorMapper.java,45.0,1.0,46.0,0.5,0.0
KuromojiTokenizer.java,46.0,0.0,46.0,0.375,1.0
MockTokenFilter.java,46.0,0.0,46.0,0.46666667,2.0
MockIndexOutputWrapper.java,46.0,0.0,46.0,0.40625,2.0
TaskSequence.java,45.0,1.0,46.0,0.64285713,0.0
Uncompressor.java,45.0,1.0,46.0,1.0,0.0
BaseDirectoryTestCase.java,45.0,1.0,46.0,0.75,3.0
FixedIntBlockIndexOutput.java,46.0,0.0,46.0,0.29411766,1.0
TestVirtualMethod.java,46.0,0.0,46.0,0.33333334,0.0
SchemaVersionResource.java,45.0,1.0,46.0,1.0,0.0
TestGalicianMinimalStemFilter.java,45.0,1.0,46.0,0.6363636,4.0
TestSegmentTermDocs.java,46.0,0.0,46.0,0.31707317,5.0
